component,mol_fraction
N2,0.0020
CO2,0.0098
C1,0.6000
C2,0.0368
C3,0.0285
iC4,0.0059
nC4,0.0138
iC5,0.0064
nC5,0.0079
C6,0.0147
C7+,0.2743
