metric,P10,P50,P90
max_subcooling_C,9.11,9.14,10.3
max_Phi_SH,2.91e+03,3.8e+03,5.73e+03
peak_wall_deposit_mm,9.29,11.8,34.3
peak_deposit_from_phi_mm,1.73,2.87,11.9
peak_bulk_hydrate_frac,0.0272,0.0451,0.188
time_to_plug_h,n/a,n/a,n/a
