# Region      : all region0
# Cells       : 20000
# Volume      : 1.547202e-01
# Time        	volAverage(alpha.liquid)
0.1           	2.455265e-01
0.2           	2.464576e-01
0.3           	2.477309e-01
0.4           	2.492470e-01
0.5           	2.509833e-01
0.6           	2.529221e-01
0.7           	2.550524e-01
0.8           	2.573634e-01
0.9           	2.597618e-01
1             	2.613079e-01
1.1           	2.590256e-01
1.2           	2.552459e-01
1.3           	2.541251e-01
1.4           	2.540153e-01
1.5           	2.540456e-01
1.6           	2.541978e-01
1.7           	2.542456e-01
1.8           	2.540747e-01
1.9           	2.537605e-01
2             	2.534508e-01
